"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.wellsr","results.gabbardt","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.patrickd"
"158","48321","Matagorda",  1403, 19, 19,   676,   295,   217,    89,    38,    27,    17,     6,     6,     7,     1,     4,     3,     6,     0,     6,     5
"159","48323","Maverick",  7971, 15, 15,  1150,  2704,  1419,   425,   171,   103,   144,    37,   979,   334,    43,   122,    86,   151,    42,    41,    20
"160","48307","McCulloch",   156,  4,  4,    69,    31,    27,    15,     2,     3,     1,     0,     5,     3,     0,     0,     0,     0,     0,     0,     0
"161","48309","McLennan", 12867, 34, 34,  5359,  3079,  1677,  1652,   436,   286,    49,    28,   136,    16,     0,    39,    33,    22,    30,    20,     5
"162","48311","McMullen",    19,  4,  4,     8,     0,    10,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"163","48325","Medina",  2300,  8,  8,   874,   558,   300,   229,   133,    69,    37,     2,    53,     1,     3,     6,     9,     3,    13,     8,     2
"164","48327","Menard",    61,  7,  7,    26,    18,     7,     7,     3,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"165","48329","Midland",  3891, 18, 18,  1495,   991,   594,   421,   158,    88,     5,    15,    39,    13,     3,    23,    14,     8,    12,    10,     2
"166","48331","Milam",  1055,  9,  9,   428,   270,   178,    84,    37,    20,    15,     1,     1,     2,     1,     3,     7,     3,     1,     3,     1
"167","48333","Mills",   102,  8,  8,    30,    32,    19,     8,     9,     4,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"168","48335","Mitchell",   134,  7,  7,    69,    25,    21,     5,     4,     3,     1,     0,     2,     0,     2,     0,     0,     0,     1,     1,     0
"169","48337","Montague",   480, 16, 16,   211,   112,    77,    33,    14,    19,     4,     2,     0,     0,     0,     2,     1,     2,     0,     3,     0
"170","48339","Montgomery", 25487,101,101,  9932,  6458,  3734,  2830,  1307,   788,   140,    21,    27,     6,     7,   123,    66,    26,    12,     2,     8
