"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bennetm","results.steyert","results.delaneyj","results.yanga","results.bloombergm","results.warrene","results.gabbardt","results.klobuchara","results.buttigiegp","results.patrickd"
"142","13287","Turner",   609,  3,  3,   513,    36,     8,     2,     5,    11,     5,    23,     2,     3,     1,     0
"143","13289","Twiggs",  1363,  5,  5,  1062,    85,    42,     9,     9,    30,    31,    22,    30,    22,    14,     7
"144","13291","Union",  1038, 11, 11,   908,    62,     6,     0,     2,     5,    13,    17,     8,     7,     9,     1
"145","13293","Upson",  1896,  4,  4,  1659,   125,    24,     3,     4,     9,    25,    29,     4,     5,     7,     2
"146","13295","Walker",  2011, 11, 11,  1689,   207,     8,     2,     6,    15,    24,    27,     8,     7,    17,     1
"147","13297","Walton",  5160, 21, 21,  4450,   438,    30,     6,     9,    41,    46,    86,     6,    17,    27,     4
"148","13299","Ware",  1651, 12, 12,  1437,    99,    19,     2,     8,    11,    22,    29,     9,     4,     8,     3
"149","13301","Warren",   918,  1,  1,   719,    77,    22,    17,     7,    23,    11,    14,    14,     7,     6,     1
"150","13303","Washington",  3825,  8,  8,  2755,   378,   105,    26,    41,   138,   113,    76,    69,    72,    36,    16
"151","13305","Wayne",   883, 12, 12,   783,    45,     6,     8,     6,     3,     6,    18,     1,     4,     2,     1
"152","13307","Webster",   379,  1,  1,   277,    25,    13,     7,     0,    12,    11,     8,     8,     7,    10,     1
"153","13309","Wheeler",   434,  2,  2,   360,    24,     5,     4,     2,     7,    10,    12,     5,     3,     2,     0
"154","13311","White",   865, 11, 11,   685,   100,     6,     1,     0,     9,     8,    27,    10,     9,     9,     1
"155","13313","Whitfield",  3109, 23, 23,  2461,   473,    13,     2,     8,    28,    29,    49,    11,    20,    12,     3
"156","13315","Wilcox",   307,  6,  6,   264,    18,     8,     0,     4,     2,     5,     4,     0,     1,     0,     1
"157","13317","Wilkes",  1318,  7,  7,  1031,   107,    21,    20,     7,    30,    24,    21,    18,    26,     7,     6
"158","13319","Wilkinson",  1638,  9,  9,  1129,   109,    19,     7,     7,   298,    28,    11,    12,    10,     5,     3
"159","13321","Worth",  1073, 14, 15,   948,    73,    13,     4,     4,     5,     7,     9,     0,     2,     7,     1
