"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.buttigiegp","results.warrene","results.bloombergm","results.gabbardt","results.steyert","results.bookerc","results.yanga","results.bennetm","results.delaneyj","results.patrickd","results.klobuchara"
"93","17185","Wabash",   498,  16,  16,   335,   129,     9,     9,     9,     0,     1,     0,     2,     3,     0,     1,     0
"94","17187","Warren",  1192,  28,  28,   800,   327,    16,    19,    13,     5,     8,     2,     1,     0,     0,     1,     0
"95","17189","Washington",   637,  21,  21,   393,   195,     7,     9,    17,     7,     0,     2,     2,     1,     2,     2,     0
"96","17191","Wayne",   582,  27,  27,   332,   203,     7,     6,    10,     6,     5,     6,     4,     2,     1,     0,     0
"97","17193","White",   586,  18,  18,   413,   138,     7,     3,     9,     2,     1,     4,     4,     3,     2,     0,     0
"98","17195","Whiteside",  4620,  60,  60,  2997,  1428,    41,    59,    39,    16,    15,     6,    17,     0,     2,     0,     0
"99","17197","Will", 77815, 304, 304, 46601, 27714,   509,   874,  1188,   416,    60,   123,   185,    43,    51,    51,     0
"100","17199","Williamson",  4292,  65,  65,  2667,  1412,    34,    57,    49,    34,    13,     4,    15,     3,     1,     3,     0
"101","17201","Winnebago", 25946, 185, 185, 14848,  9832,   203,   384,   440,    91,    29,    28,    55,    17,    10,     9,     0
"102","17203","Woodford",  2484,  45,  45,  1620,   740,    16,    41,    30,    26,     0,     3,     4,     2,     1,     1,     0
